,Document,Topic,handle,color,date,tweet,topic_name,member,party
817,44 million Americans student loan debt 44 million people hold back buy home start business invest future need President Biden CancelStudentDebt,1,chuckschumer,blue,2021-04-15,"44 million Americans have student loan debt.

That’s 44 million people being held back from buying a home, starting a business or investing in their future.

We need President Biden to #CancelStudentDebt.",Student Debt,Charles Schumer,Democrat
819,time legalize marijuana federal level,5,chuckschumer,blue,2021-04-09,"It’s time to legalize marijuana on the federal level.
https://t.co/wXO7CCzyQb",Cannabis,Charles Schumer,Democrat
821,"President Biden cancel 50,000 student debt per person",1,chuckschumer,blue,2021-04-06,"President Biden can and should cancel $50,000 of student debt per person!",Student Debt,Charles Schumer,Democrat
823,huge win New York major step undo damage fail war drug time federal government end prohibition marijuana across country,5,chuckschumer,blue,2021-03-31,"This is a huge win for New York and a major step in undoing the damage of our failed war on drugs. 

Now it’s time for the federal government to end the prohibition of marijuana across the country. https://t.co/fCJOB8CNS3",Cannabis,Charles Schumer,Democrat
824,"40 million Americans student debt President Biden wipe 50,000 student debt every one signature Let get do CancelStudentDebt",1,chuckschumer,blue,2021-03-27,"More than 40 million Americans have student debt.

President Biden can wipe out up to $50,000 of student debt for every one of them with just his signature. Let’s get this done! #CancelStudentDebt",Student Debt,Charles Schumer,Democrat
826,"huge step forward fight eliminate heavy burden student debt need President Biden cancel 50,000 student debt everyone",1,chuckschumer,blue,2021-03-23,"This is a huge step forward in our fight to eliminate the heavy burden of student debt. Now we need President Biden to cancel $50,000 of student debt for everyone.

https://t.co/kae7cIePhZ",Student Debt,Charles Schumer,Democrat
828,Canceling student debt one effective things provide relief create economic opportunity close racial wealth gap get do,1,chuckschumer,blue,2021-02-04,"Canceling student debt is one of the most effective things we can do to provide relief, create economic opportunity and close the racial wealth gap. We will get this done.",Student Debt,Charles Schumer,Democrat
829,Cancel student loan debt,1,chuckschumer,blue,2021-01-31,Cancel student loan debt.,Student Debt,Charles Schumer,Democrat
835,Stripping away right abortion reproductive freedoms never anything control always fight protect access abortion care everything stop oppose,0,SenBooker,blue,2022-10-18,"Stripping away the right to an abortion and reproductive freedoms was never about anything other than control. I will always fight to protect access to abortion care, and I’ll do everything I can to stop those who oppose.",Abortion,Cory Booker,Democrat
836,Student debt relief way thank POTUS administration Head link take first step fill application fast simple,1,SenBooker,blue,2022-10-17,"Student debt relief is on the way thanks to @POTUS and his administration. Head to the link below to take the first step by filling out the application. It’s fast and simple. 
https://t.co/Y9YTOi11mC",Student Debt,Cory Booker,Democrat
842,Justice Ketanji Brown Jackson investiture special moment American history first Black woman first public defender serve U.S. Supreme Court bring passion law unwavering integrity Court Congrats Justice Jackson,2,SenBooker,blue,2022-10-01,"Justice Ketanji Brown Jackson's investiture is a special moment in American history – the first Black woman and the first public defender to serve on the U.S. Supreme Court. She has brought her passion for the law and unwavering integrity to the Court. Congrats, Justice Jackson! https://t.co/Ncju733nSQ",Judge Brown Jackson,Cory Booker,Democrat
852,Inflation Reduction Act reduce cost help consumers Get facts,0,SenBooker,blue,2022-08-22,"The Inflation Reduction Act will reduce costs, and help consumers. Get the facts: https://t.co/72YK0NlRYz",Abortion,Cory Booker,Democrat
853,POTUS Inflation Reduction Act position America meet climate goals save families hundreds dollars year energy…,0,SenBooker,blue,2022-08-16,"RT @POTUS: The Inflation Reduction Act will position America to meet my climate goals, saving families hundreds of dollars a year on energy…",Abortion,Cory Booker,Democrat
855,Today Senate Democrats take historic step forward pass Inflation Reduction Act reduce cost Americans fight inflation combat climate change implement fairer tax code proud vote urge House pass swiftly,0,SenBooker,blue,2022-08-07,"Today, Senate Democrats took a historic step forward in passing the Inflation Reduction Act to reduce costs for Americans by fighting inflation, combating climate change, and implementing a fairer tax code. I am proud to have voted for it, and I urge the House to pass it swiftly.",Abortion,Cory Booker,Democrat
859,chair Senate hear decriminalize cannabis federal level closer ever make progress issue ensure justice Americans victims War Drugs,5,SenBooker,blue,2022-07-26,I’m chairing a Senate hearing on decriminalizing cannabis at the federal level. We are closer than ever to making progress on this issue and ensuring justice for Americans who have been victims of the War on Drugs. https://t.co/Ql9sasNsFk,Cannabis,Cory Booker,Democrat
860,federal cannabis laws outdated unjust introduction Cannabis Administration Opportunity Act lift communities impact fail War Drugs create opportunities small cannabis businesses thrive,5,SenBooker,blue,2022-07-21,"Our federal cannabis laws are outdated and unjust. With the introduction of Cannabis Administration and Opportunity Act, we can lift up communities most impacted by the failed War on Drugs, and create opportunities for small cannabis businesses to thrive. https://t.co/Rpqpb1RgRc https://t.co/nZMiPJJZ2r",Cannabis,Cory Booker,Democrat
863,United States America better today Justice Ketanji Brown Jackson,2,SenBooker,blue,2022-06-30,The United States of America is better today because of you: Justice Ketanji Brown Jackson. https://t.co/IdXXK1eSbo,Judge Brown Jackson,Cory Booker,Democrat
868,Thinking bravery service sacrifice men women die fight country bless Memorial Day,9,SenBooker,blue,2022-05-30,"Thinking of the bravery, service, and sacrifice of the men and women who have died fighting for our country. Have a blessed Memorial Day.",MemorialDay,Cory Booker,Democrat
872,Supreme Court decide overturn Roe v. Wade would outrageous attack one Americans fundamental right Abortion health care right access must protect,0,SenBooker,blue,2022-05-03,The Supreme Court deciding to overturn Roe v. Wade would be an outrageous attack on one of Americans’ most fundamental rights. Abortion is health care and the right to access it must be protected.,Abortion,Cory Booker,Democrat
874,applaud POTUS commute sentence 75 people nonviolent drug-related convictions step right direction end war drug must keep fight deliver justice impact,5,SenBooker,blue,2022-04-26,"I applaud @POTUS on commuting the sentences of 75 people for nonviolent, drug-related convictions. This is a step in the right direction to end the war on drugs. We must keep fighting to deliver justice to all those who have been impacted.",Cannabis,Cory Booker,Democrat
876,finally end fail War Drugs must legalize marijuana expunge past convictions restore justice disproportionately impact,5,SenBooker,blue,2022-04-20,"To finally end the failed War on Drugs we must legalize marijuana, expunge past convictions, and restore justice for those who have been disproportionately impacted.",Cannabis,Cory Booker,Democrat
878,historic day Ketanji Brown Jackson justice Americans,2,SenBooker,blue,2022-04-07,This was a historic day. Ketanji Brown Jackson will be a justice for all Americans. https://t.co/jkkITlvdJn,Judge Brown Jackson,Cory Booker,Democrat
879,Ketanji Brown Jackson ascend Supreme Court see ancestors suffer indignities country yet sacrifice bend moral arc nation towards justice overjoy vote favor brilliant jurist,2,SenBooker,blue,2022-04-07,"As Ketanji Brown Jackson ascends to the Supreme Court, I see in her our ancestors who suffered the indignities of this country yet sacrificed to bend the moral arc of our nation towards justice.
 
I was overjoyed to vote in favor of a brilliant jurist.
https://t.co/lgLjZqDmWm",Judge Brown Jackson,Cory Booker,Democrat
880,"encourage POTUS take action long-term solutions struggle student loan debt include extension current repayment pause cancellation 50,000 student debt",1,SenBooker,blue,2022-04-05,"I encourage @POTUS to take action on long-term solutions for those struggling with student loan debt, including an extension of the current repayment pause and a cancellation of up to $50,000 in student debt.",Student Debt,Cory Booker,Democrat
884,Happy join TheView discuss Supreme Court nomination historic hear Judge Ketanji Brown Jackson,2,SenBooker,blue,2022-03-29,Happy to join @TheView to discuss the Supreme Court nomination historic hearings for Judge Ketanji Brown Jackson. https://t.co/hJ6NJxPzkv,Judge Brown Jackson,Cory Booker,Democrat
886,Judge Ketanji Brown Jackson qualifications record unassailable incredible Supreme Court Justice,2,SenBooker,blue,2022-03-27,Judge Ketanji Brown Jackson's qualifications and record are unassailable. She will be an incredible Supreme Court Justice. https://t.co/Q4mpG03WNt,Judge Brown Jackson,Cory Booker,Democrat
887,Judge Ketanji Brown Jackson earn moment history worthy truly great American,2,SenBooker,blue,2022-03-23,"Judge Ketanji Brown Jackson has earned this moment in history, she is worthy, she is a truly great American. https://t.co/A5igQ4Efnn",Judge Brown Jackson,Cory Booker,Democrat
888,Today first day confirmation process SCOTUS nominee Judge Ketanji Brown Jackson joy join civil right leaders members Congress friends family Judge Jackson celebrate historic moment,2,SenBooker,blue,2022-03-21,"Today was the first day in the confirmation process of SCOTUS nominee Judge Ketanji Brown Jackson. It was a joy to join civil rights leaders, other members of Congress and the friends and family of Judge Jackson to celebrate this historic moment. https://t.co/A8lYuePwdw",Judge Brown Jackson,Cory Booker,Democrat
891,Congratulations make New Jersey proud,7,SenBooker,blue,2022-03-18,Congratulations! You’re making New Jersey proud.,DefendOurDemocracy,Cory Booker,Democrat
892,time comprehensive cannabis reform country Read plan make change federal level latest op-ed HuffPost,5,SenBooker,blue,2022-03-15,It’s time for comprehensive cannabis reform in this country. Read how I plan to make the change at the federal level in my latest op-ed in @HuffPost.  https://t.co/DZdGIScwDm,Cannabis,Cory Booker,Democrat
893,grateful meet Judge Ketanji Brown Jackson learn share experience exceptional qualifications faithfulness rule law prove best fit Supreme Court look forward confirmation Senate 📸 Renée Bouchard,2,SenBooker,blue,2022-03-10,I’m grateful to have met Judge Ketanji Brown Jackson and learn about our shared experiences. Her exceptional qualifications and faithfulness to the rule of law prove she is the best fit for the Supreme Court and I look forward to her confirmation by the Senate. 📸:Renée Bouchard https://t.co/yJcsb1lp8z,Judge Brown Jackson,Cory Booker,Democrat
897,Today POTUS make history nomination Judge Ketanji Brown Jackson eminently qualify next Supreme Court Justice look forward meet hear commitment justice Americans,2,SenBooker,blue,2022-02-25,"Today @POTUS made history with the nomination of Judge Ketanji Brown Jackson. She is eminently qualified to be the next Supreme Court Justice, and I look forward to meeting with her and hearing about her commitment to justice for all Americans.",Judge Brown Jackson,Cory Booker,Democrat
898,full statement Russia invasion Ukraine,4,SenBooker,blue,2022-02-24,My full statement on Russia’s invasion of Ukraine. https://t.co/V2CDq4Kpuw,Russo-Ukrainian War,Cory Booker,Democrat
899,heart people Ukraine tonight President Putin unjust invasion threaten security Europe put live millions grave risk hold Russia accountable StandWithUkraine,4,SenBooker,blue,2022-02-24,My heart is with the people of Ukraine tonight. President Putin’s unjust invasion is threatening the security of Europe and putting the lives of millions at grave risk. We will hold Russia accountable. #StandWithUkraine,Russo-Ukrainian War,Cory Booker,Democrat
900,Vaccines safe effective best way us end COVID-19 pandemic encourage everyone eligible get one fully vaccinate get boost already,10,SenBooker,blue,2022-02-15,"Vaccines are safe, effective, and the best way for us to end the COVID-19 pandemic. I encourage everyone eligible to get one, and for those who are fully vaccinated to get boosted if they haven’t already. https://t.co/a67UXewNe2",COVID-19 Vaccine,Cory Booker,Democrat
903,Profoundly grateful Justice Breyer decades service Supreme Court look forward learn President Biden nominate fill vacancy,2,SenBooker,blue,2022-01-26,Profoundly grateful for Justice Breyer’s decades of service on the Supreme Court and I look forward to learning who President Biden will nominate to fill this vacancy. https://t.co/87993yffOv,Judge Brown Jackson,Cory Booker,Democrat
906,Getting vaccinate quite simply best single way combat pandemic regardless COVID throw way Learn options get vaccinate booster shoot,10,SenBooker,blue,2022-01-13,"Getting vaccinated is quite simply the best single way to combat this pandemic, regardless of what COVID throws our way. Learn about your options to get vaccinated or a booster shot at https://t.co/mBVcAyFwyL",COVID-19 Vaccine,Cory Booker,Democrat
908,Abortion health care decision allow Texas continue deny people right care stand providers advocate activists continue challenge clearly unconstitutional law,0,SenBooker,blue,2021-12-10,"Abortion is health care, and this decision allows Texas to continue to deny people their right to that care. I stand with providers, advocates, and activists as they continue to challenge this clearly unconstitutional law.
https://t.co/wZ9EN7eIYP",Abortion,Cory Booker,Democrat
909,Today Supreme Court hear case directly challenge Roe v. Wade Abortion health care constitutional right must protect safe legal access AbortionIsEssential,0,SenBooker,blue,2021-12-01,"Today the Supreme Court is hearing a case that directly challenges Roe v. Wade. Abortion is health care and a constitutional right; we must protect safe and legal access to it. #AbortionIsEssential
https://t.co/K3uOCLppGd",Abortion,Cory Booker,Democrat
910,COVID-19 vaccines free safe prove effective way combat pandemic stay healthy Make appointment first dose booster right,10,SenBooker,blue,2021-11-27,"COVID-19 vaccines are free, safe, and have proven to be the most effective way to combat the pandemic and stay healthy. Make your appointment for your first dose or booster at https://t.co/mBVcAyFwyL right now.",COVID-19 Vaccine,Cory Booker,Democrat
912,drug laws outdated ineffective reduce harm must pass comprehensive cannabis reform start lift people needlessly punish,5,SenBooker,blue,2021-11-17,"Our drug laws are outdated and are ineffective at reducing harm. We must pass comprehensive cannabis reform, so we can start lifting people up, not needlessly punishing them.",Cannabis,Cory Booker,Democrat
915,Supreme Court hear arguments today must renew efforts protect defend access abortion everywhere United States,0,SenBooker,blue,2021-11-01,"As the Supreme Court hears arguments today, we must renew our efforts to protect and defend access to abortion everywhere in the United States.
https://t.co/Cj7tRi3T9w",Abortion,Cory Booker,Democrat
921,Congress must pass comprehensive cannabis reform Department Justice take step immediately decriminalize marijuana,5,SenBooker,blue,2021-10-14,"Congress must pass comprehensive cannabis reform, but the Department of Justice can take steps immediately to decriminalize marijuana.
https://t.co/crHamqUF23",Cannabis,Cory Booker,Democrat
924,COVID-19 vaccines save live keep people healthy hospital New Jerseyans receive free COVID-19 vaccine yet please consider information visit,10,SenBooker,blue,2021-10-05,"The COVID-19 vaccines save lives and keep people healthy and out of the hospital. New Jerseyans, if you haven’t received your free COVID-19 vaccine yet, please consider doing so. For more information, visit: https://t.co/o0ohasVg5b",COVID-19 Vaccine,Cory Booker,Democrat
925,Abortion care health care,0,SenBooker,blue,2021-09-29,Abortion care is health care. https://t.co/zCevaKWlJ1,Abortion,Cory Booker,Democrat
931,Following horrific attack September 11th saw countless act bravery service emergency responders rush toward danger communities support suffer unimaginable loss Together honor lose carry forward spirit,9,SenBooker,blue,2021-09-11,"Following the horrific attacks of September 11th, we saw countless acts of bravery and service, emergency responders rushing toward danger, communities supporting those who had suffered unimaginable loss. Together we can honor those we lost, by carrying forward that spirit.",MemorialDay,Cory Booker,Democrat
933,Ending fail War Drugs begin legalize cannabis allow live destroy discriminatory policies lock people without make us safer laws must focus restorative justice,5,SenBooker,blue,2021-09-02,Ending the failed War on Drugs begins with legalizing cannabis. We can’t allow more lives to be destroyed by discriminatory policies that have locked up people without making us safer. Our laws must focus on restorative justice.,Cannabis,Cory Booker,Democrat
938,step must take fix savagely break criminal justice system ✅ Legalize cannabis ✅ Ban private prisons ✅ End fail War Drugs—which really war people disproportionately low income Black Brown communities,5,SenBooker,blue,2021-08-22,"There are steps we must take to fix our savagely broken criminal justice system. 
✅ Legalize cannabis.
✅ Ban private prisons.
✅ End the failed War on Drugs—which has really been a war on people, disproportionately low income and Black and Brown communities.",Cannabis,Cory Booker,Democrat
939,long past time fix savagely break criminal justice system focus restorative justice mean need ban private prisons need legalize marijuana expunge record need end fail War Drugs,5,SenBooker,blue,2021-08-16,It’s long past time we fix our savagely broken criminal justice system and focus on restorative justice. This means we need to ban private prisons. We need to legalize marijuana and expunge records. We need to end the failed War on Drugs.,Cannabis,Cory Booker,Democrat
940,effort legalize marijuana must also help suffer due prohibition mean expunge record invest communities harm fail drug war,5,SenBooker,blue,2021-08-15,Any effort to legalize marijuana must also help those who suffered due to its prohibition. That means expunging records and investing in communities that have been harmed by our failed drug war.,Cannabis,Cory Booker,Democrat
941,must support veterans families every day Veterans Day especially humble immeasurable service feel call live value fight,9,CoryBooker,blue,2022-11-11,We must do more to support our veterans and their families every day. This Veterans Day I am especially humbled by their immeasurable service and feel called to live up to the values they have fought for.,MemorialDay,Cory Booker,Democrat
945,President Biden pardon action marijuana possession charge make huge difference live thousands families communities road ahead long much closer justice,5,CoryBooker,blue,2022-10-11,"President Biden’s pardons, and actions on marijuana possession charges will make a huge difference for the lives of thousands of families and communities. The road ahead is long, but we are so much closer to justice. https://t.co/VLmhaq5gMZ",Cannabis,Cory Booker,Democrat
946,simple marijuana conviction could carry lifetime consequences even others make billions marijuana legalization Thanks President Biden action yesterday one big step closer justice,5,CoryBooker,blue,2022-10-07,"A simple marijuana conviction could carry a lifetime of consequences, even as others make billions off of marijuana legalization. Thanks to President Biden’s actions yesterday we are one big step closer to justice. https://t.co/swIp1YhOvh",Cannabis,Cory Booker,Democrat
947,Today Justice Ketanji Brown Jackson star harbinger hope Grateful joyful witness history today Supreme Court,2,CoryBooker,blue,2022-09-30,Today Justice Ketanji Brown Jackson is my star – my harbinger of hope. Grateful and joyful to witness history today at the Supreme Court. https://t.co/H8DHkWZViz,Judge Brown Jackson,Cory Booker,Democrat
949,need booster yet vaccinate COVID-19 schedule appointment right protect love ones winter get vaccinate,10,CoryBooker,blue,2022-09-27,"If you need a booster, or have yet to be vaccinated for COVID-19 you can schedule an appointment right now at https://t.co/gaWmPGFVeB. You can protect yourself and your loved ones this winter by getting vaccinated now.",COVID-19 Vaccine,Cory Booker,Democrat
951,Senate Democrats pass Inflation Reduction Act lower cost prescription drug health care confront climate change provide common sense solutions challenge Americans face proud vote grateful voters make possible,0,CoryBooker,blue,2022-08-07,"Senate Democrats just passed the Inflation Reduction Act to lower costs for prescription drugs and health care, confront climate change, and provide common sense solutions for challenges Americans face.

I am proud to vote for it &amp; grateful for the voters who made this possible.",Abortion,Cory Booker,Democrat
955,right abortion fundamental right Congress mandate protect Americans fundamental right must act,0,CoryBooker,blue,2022-05-03,The right to an abortion is a fundamental right. Congress has a mandate to protect Americans’ fundamental rights. We must act now.,Abortion,Cory Booker,Democrat
959,JLCauvin one excite Justice Ketanji Brown Jackson Senator Cory Booker,2,CoryBooker,blue,2022-04-10,RT @JLCauvin: No one is more excited about Justice Ketanji Brown Jackson than Senator Cory Booker https://t.co/gbcLEubHzh,Judge Brown Jackson,Cory Booker,Democrat
960,one go steal joy today Still beam confirmation Ketanji Brown Jackson Supreme Court,2,CoryBooker,blue,2022-04-08,No one is going to steal my joy today. Still beaming over the confirmation of Ketanji Brown Jackson to the Supreme Court. https://t.co/RT5Lp8c0em,Judge Brown Jackson,Cory Booker,Democrat
961,Judge Ketanji Brown Jackson Justice Ketanji Brown Jackson Hallelujah,2,CoryBooker,blue,2022-04-07,Judge Ketanji Brown Jackson will now be Justice Ketanji Brown Jackson. Hallelujah! https://t.co/5vNZON5htH,Judge Brown Jackson,Cory Booker,Democrat
962,Let us rejoice Ketanji Brown Jackson America next Supreme Court Justice,2,CoryBooker,blue,2022-04-07,Let us rejoice! Ketanji Brown Jackson will be America’s next Supreme Court Justice. https://t.co/H1HKHbkn1n,Judge Brown Jackson,Cory Booker,Democrat
968,Judge Ketanji Brown Jackson join highest court land 'm go rejoice greatest country world United States America better,2,CoryBooker,blue,2022-03-23,"When Judge Ketanji Brown Jackson joins the highest court in the land, I'm going to rejoice because the greatest country in the world, the United States of America, will be better because of her.",Judge Brown Jackson,Cory Booker,Democrat
969,Today joyous day look forward hear Judge Ketanji Brown Jackson week feel privilege witness history make,2,CoryBooker,blue,2022-03-22,"Today was a joyous day. I look forward to hearing from Judge Ketanji Brown Jackson this week, and I feel privileged to witness history being made. https://t.co/r3OU3B9NgZ",Judge Brown Jackson,Cory Booker,Democrat
972,Following President Biden nomination Judge Ketanji Brown Jackson enter pantheon Black women strength person intellect make history Harriet Tubman Kamala Harris make incredible Supreme Court Justice,2,CoryBooker,blue,2022-02-25,"Following President Biden’s nomination, Judge Ketanji Brown Jackson enters the pantheon of Black women who through their strength of person and intellect have made history, from Harriet Tubman to Kamala Harris.

She will make an incredible Supreme Court Justice.",Judge Brown Jackson,Cory Booker,Democrat
973,'m ready Black woman Supreme Court,2,CoryBooker,blue,2022-01-27,I'm ready for a Black woman to be on the Supreme Court.,Judge Brown Jackson,Cory Booker,Democrat
974,Thank Justice Breyer decades public service commitment equal justice Americans,2,CoryBooker,blue,2022-01-27,Thank you Justice Breyer for your decades of public service and commitment to equal justice for all Americans.,Judge Brown Jackson,Cory Booker,Democrat
975,Congratulations PhilMurphyNJ second inauguration move New Jersey forward guide us unprecedented crisis look forward work next four years improve live New Jerseyans,7,CoryBooker,blue,2022-01-19,Congratulations to @PhilMurphyNJ on your second inauguration. You have moved New Jersey forward and guided us through an unprecedented crisis. I look forward to working with you for the next four years to improve the lives of all New Jerseyans.,DefendOurDemocracy,Cory Booker,Democrat
978,Research data tell us effective safe way protect COVID-19 anyone 5 vaccinate eligible get booster shoot today,10,CoryBooker,blue,2021-11-27,"Research and data tell us the most effective and safe way to protect against COVID-19 is for anyone over 5 to be vaccinated and, if eligible, get their booster shot. Do it today!",COVID-19 Vaccine,Cory Booker,Democrat
981,Veterans Day opportunity thank veterans love ones extraordinary service nation Every day strive live value fight,9,CoryBooker,blue,2021-11-11,"Veterans Day is an opportunity to thank veterans, and their loved ones, for their extraordinary service to our nation. Every day we should be striving to live up to the values they fought for. https://t.co/gBkL7t5yRs",MemorialDay,Cory Booker,Democrat
982,Congratulations friend great Governor PhilMurphyNJ win re-election move state forward midst unprecedented crisis New Jersey leadership best days ahead,7,CoryBooker,blue,2021-11-03,"Congratulations to my friend and our great Governor @PhilMurphyNJ on winning re-election. You have moved our state forward in the midst of an unprecedented crisis. For New Jersey, and your leadership, our best days are ahead.",DefendOurDemocracy,Cory Booker,Democrat
983,New Jersey today last day register vote November state municipal elections register right already register send link friends family,3,CoryBooker,blue,2021-10-12,"New Jersey today is the last day to register to vote in our November state and municipal elections! You can register right now, or if you’re already registered send this link to friends and family: https://t.co/DyUbcBohlF",Voting,Cory Booker,Democrat
985,right decision continue attack abortion reproductive freedoms blatant violation human constitutional right,0,CoryBooker,blue,2021-10-07,This is the right decision. These continued attacks on abortion and reproductive freedoms are a blatant violation of human and constitutional rights. https://t.co/qksy5qabk1,Abortion,Cory Booker,Democrat
989,Texas abortion ban deny women constitutionally protect right product decades-long effort right-wing activists overturn Roe v. Wade must stand freedoms—in state Congress court,0,CoryBooker,blue,2021-09-01,"Texas' abortion ban, which denies women their constitutionally protected rights, is the product of a decades-long effort from right-wing activists to overturn Roe v. Wade.

We must stand up for those freedoms—in the states, in Congress, and in the courts.
https://t.co/v9f4nCnrNZ",Abortion,Cory Booker,Democrat
990,Today great day schedule free safe effective COVID-19 vaccine protect love ones,10,CoryBooker,blue,2021-08-23,"Today is a great day to schedule your free, safe and effective COVID-19 vaccine to protect yourself and your loved ones. https://t.co/3T8mfa1EQr",COVID-19 Vaccine,Cory Booker,Democrat
992,first time ever Senate Majority Leader support bill end federal prohibition marijuana—this big deal support help us build momentum bill make significant progress issue Help us get MarijuanaJustice,5,CoryBooker,blue,2021-07-23,"For the first time ever, the Senate Majority Leader supports a bill to end the federal prohibition of marijuana—this is a big deal. That support will help us build momentum for our bill and make significant progress on the issue. Help us get there. #MarijuanaJustice",Cannabis,Cory Booker,Democrat
993,War Drugs war people—particularly people color move bill largely benefit industry must take care people impact fail marijuana policies either proposition MarijuanaJustice,5,CoryBooker,blue,2021-07-23,The War on Drugs has been a war on people—particularly people of color. Before we move on a bill that will largely benefit industry we must take care of the people most impacted by our failed marijuana policies. This doesn’t have to be an either or proposition. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
994,bill would create Opportunity Trust Fund fund three grant program create opportunity harm fail drug war must provide resources small minority-owned marijuana businesses diversify market MarijuanaJustice,5,CoryBooker,blue,2021-07-23,Our bill would create an Opportunity Trust Fund that will fund three grant programs to create opportunity for those harmed by our failed drug war. We must provide resources to small minority-owned marijuana businesses and diversify the market. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
995,bill would solve bank issue descheduling marijuana Also legislation would allow small marijuana businesses less 20 million sales annually get 50 percent reduction tax rate via tax credit MarijuanaJustice,5,CoryBooker,blue,2021-07-23,"Our bill would solve the banking issue by descheduling marijuana. Also, our legislation would allow small marijuana businesses with less than $20 million in sales annually to get a 50 percent reduction in their tax rate, via a tax credit. #MarijuanaJustice",Cannabis,Cory Booker,Democrat
996,enact marijuana reform without real restorative justice harm drug war Red state blue state lead way legalize marijuana time federal government catch MarijuanaJustice,5,CoryBooker,blue,2021-07-23,We cannot enact marijuana reform without real restorative justice for those most harmed by the drug war. Red states and blue states are leading the way and legalizing marijuana. It is time for the federal government to catch up. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
997,bill would deschedule marijuana thereby end federal prohibition word legislation would legalize marijuana federal level MarijuanaJustice,5,CoryBooker,blue,2021-07-23,"Our bill would deschedule marijuana, thereby ending the federal prohibition. In other words, our legislation would legalize marijuana at the federal level. #MarijuanaJustice",Cannabis,Cory Booker,Democrat
998,must take tax revenue marijuana sales reinvest communities impact War Drugs—our bill would create Opportunity Trust Fund fund 3 grant program create opportunity harm fail drug war MarijuanaJustice,5,CoryBooker,blue,2021-07-23,We must take tax revenue from marijuana sales &amp; reinvest them into communities most impacted by the War on Drugs—our bill would create an Opportunity Trust Fund that will fund 3 grant programs to create opportunity for those harmed by our failed drug war. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
999,legislation would create Cannabis Opportunity Program run Small Business Administration would make loan assist small businesses marijuana industry own individuals unfairly impact War Drugs MarijuanaJustice,5,CoryBooker,blue,2021-07-23,Our legislation would create a Cannabis Opportunity Program run by the Small Business Administration which would make loans to assist small businesses in the marijuana industry owned by individuals unfairly impacted by the War on Drugs. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
1000,bill would allow people federal prison marijuana offense receive resentencing bill also allow federal marijuana crimes expunge critical provision bill MarijuanaJustice,5,CoryBooker,blue,2021-07-23,Our bill would allow people who are in federal prison for a marijuana offense to receive a resentencing. Our bill also allows for federal marijuana crimes to be expunged. These are critical provisions of our bill. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
1001,Thank everyone ask question plan end federal prohibition marijuana answer week—please continue send question use MarijuanaJustice,5,CoryBooker,blue,2021-07-19,Thank you to everyone who asked questions about our plan to end the federal prohibition on marijuana. I’ll answer more of them this week—please continue to send any questions you have using #MarijuanaJustice.,Cannabis,Cory Booker,Democrat
1002,address press need cannabis businesses access financial institutions provide real restorative justice harm War Drugs zero-sum game MarijuanaJustice,5,CoryBooker,blue,2021-07-19,We can both address the pressing need for cannabis businesses to access financial institutions and provide real restorative justice for those harmed by the War on Drugs. This is not a zero-sum game. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
1003,Establishing market equitable central component bill bill would create grant program run Small Business Administration assist small marijuana businesses own socially economically disadvantage individuals MarijuanaJustice,5,CoryBooker,blue,2021-07-19,Establishing a market that is equitable is a central component of our bill. The bill would create a grant program run by the Small Business Administration to assist small marijuana businesses owned by socially and economically disadvantaged individuals. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
1004,Ending federal marijuana prohibition fix bank issue Additionally legislation would create grant program help small cannabis businesses own socially economically disadvantage people MarijuanaJustice,5,CoryBooker,blue,2021-07-19,"Ending the federal marijuana prohibition fixes the banking issue. Additionally, our legislation would create a grant program to help small cannabis businesses owned by socially and economically disadvantaged people. #MarijuanaJustice",Cannabis,Cory Booker,Democrat
1005,go comprehensive set post-legalization system believe build support make progress issue SAFE Banking lack critical restorative justice provision must help communities unfairly impact War Drugs MarijuanaJustice,5,CoryBooker,blue,2021-07-19,By going comprehensive &amp; setting up a post-legalization system we believe we can build support &amp; make progress on this issue. SAFE Banking lacks critical restorative justice provisions &amp; we must do more to help communities unfairly impacted by the War on Drugs. #MarijuanaJustice,Cannabis,Cory Booker,Democrat
1006,Last week SenSchumer RonWyden announce historic plan legalize marijuana federally expunge record help communities hurt fail drug war afternoon like answer question plan—please ask tag use MarijuanaJustice,5,CoryBooker,blue,2021-07-19,"Last week, @SenSchumer, @RonWyden &amp; I announced a historic plan to legalize marijuana federally, expunge records &amp; help communities hurt by the failed drug war. This afternoon I’d like to answer your questions about our plan—please ask them by tagging me or use #MarijuanaJustice.",Cannabis,Cory Booker,Democrat
1007,vaccinate COVID-19 please reach family friends coworkers neighbor remind safe easy get do truly act love help save live,10,CoryBooker,blue,2021-07-18,"Have you been vaccinated against COVID-19? If so, please reach out to your family, friends, coworkers and neighbors and remind them how safe and easy it is to get done. This is truly an act of love that can help save lives.",COVID-19 Vaccine,Cory Booker,Democrat
